method,feat,seq_id,-xent@16,acc 8/16,acc 1/16
permute,none,0,-0.66567814,0.87635577,0.38611713
permute,none,1,-0.75824535,0.8042553,0.3531915
permute,none,2,-0.6804132,0.9206349,0.4563492
permute,none,3,-0.8985952,0.7051282,0.1965812
permute,none,4,-0.8505158,0.779661,0.16949153
permute,none,5,-0.82365376,0.795082,0.19262294
permute,none,6,-0.8748497,0.795082,0.13934426
permute,none,7,-0.87401456,0.8196721,0.20081967
permute,none,8,-0.83045644,0.7113402,0.19587629
permute,none,9,-0.8474643,0.68333334,0.2
permute,none,10,-0.8452011,0.79916316,0.22175732
permute,none,11,-0.5462497,0.94699645,0.37102473
permute,none,12,-0.92409354,0.7366255,0.17283951
permute,none,13,-0.9338147,0.668,0.068
permute,none,14,-0.9003328,0.792,0.184
permute,none,15,-0.8846733,0.75977653,0.23463687
permute,none,16,-0.85429996,0.7181009,0.2908012
permute,none,17,-0.75877315,0.93782383,0.24870466
permute,none,18,-0.9124553,0.79693484,0.20689656
permute,none,19,-0.9157341,0.76077586,0.18534483
permute,none,20,-0.9055944,0.7715736,0.14213198
permute,none,21,-0.983437,0.706,0.124
permute,none,22,-0.9357889,0.74545455,0.16363636
permute,none,23,-0.9549086,0.68356997,0.15010142
permute,none,24,-0.86887157,0.86752135,0.08974359
permute,none,25,-0.9124298,0.7620818,0.15241636
permute,none,26,-0.9856555,0.7290503,0.11452514
permute,none,27,-0.8755642,0.8578199,0.12796208
permute,none,28,-0.82013613,0.8251748,0.24475524
permute,none,29,-0.6402348,0.9264305,0.35149863
permute,none,30,-0.78779566,0.834,0.286
permute,none,31,-0.80017954,0.94,0.16
permute,none,32,-0.8415713,0.83146065,0.21910113
permute,none,33,-0.7141022,0.83516484,0.2802198
permute,none,34,-0.62959355,0.9300699,0.3846154
permute,none,35,-0.86546326,0.82530123,0.19879518
permute,none,36,-1.0044414,0.6421053,0.110526316
permute,none,37,-0.98903835,0.5323741,0.02877698
permute,none,38,-0.999774,0.56112224,0.0761523
permute,none,39,-0.9997428,0.44444445,0.071428575
permute,none,40,-0.9992127,0.514,0.06
permute,none,41,-1.0001551,0.49285713,0.071428575
permute,none,42,-0.9997083,0.50775194,0.054263566
permute,none,43,-0.90196776,0.7569444,0.1736111
permute,none,44,-0.8884137,0.75,0.19166666
permute,none,45,-0.96006465,0.6510989,0.1456044
permute,none,46,-0.9637139,0.7285714,0.07619048
permute,none,47,-0.9492895,0.7268171,0.05263158
permute,none,48,-1.0094576,0.5837838,0.048648648
permute,none,49,-0.9684149,0.5879121,0.20054945
permute,none,50,-0.9598485,0.63432837,0.17661692
permute,none,51,-0.9424855,0.6862069,0.17586207
permute,none,52,-0.961519,0.7175,0.1025
permute,none,53,-0.98321867,0.5785124,0.10743801
permute,none,54,-0.67030597,0.878,0.39
permute,none,55,-0.6596308,0.902,0.426
permute,none,56,-0.7542049,0.834,0.328
permute,none,57,-0.67930144,0.872,0.386
permute,none,58,-0.63772523,0.914,0.322
permute,none,59,-0.73156494,0.88,0.52
permute,none,60,-0.5806781,0.9518072,0.32128513
permute,none,61,-0.62275624,0.95454544,0.29545453
permute,none,62,-0.60359186,0.9489051,0.30656934
permute,none,63,-0.5895563,0.9503106,0.3478261
permute,none,64,-0.7785408,0.74285716,0.34285715
permute,none,65,-0.66077644,0.9785714,0.27857143
permute,none,66,-0.5877196,0.886076,0.48734176
permute,none,67,-0.6976952,0.96825397,0.31746033
permute,none,68,-0.6694948,1.0,0.44354838
permute,none,69,-0.80299306,0.832,0.322
permute,none,70,-0.7463405,0.90262175,0.52059925
permute,none,71,-0.9453182,0.75736964,0.2154195
permute,none,72,-0.61022323,0.94311374,0.41616768
permute,none,73,-0.83080125,0.84131736,0.18263473
permute,none,74,-0.5750062,0.98802394,0.24550898
permute,none,75,-0.99909794,0.47191012,0.06741573
permute,none,76,-0.99740434,0.5020243,0.0708502
permute,none,77,-0.99864274,0.5,0.04945055
permute,none,78,-0.99692094,0.42335767,0.08029197
permute,none,79,-1.0028481,0.5084175,0.09427609
permute,none,80,-0.9975506,0.5388349,0.04368932
permute,none,81,-0.9989192,0.476,0.072
